OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
982;150018;150018;ΣΧΟΛΕΙΑ;Επί της ΑΓ.ΓΛΥΚΕΡΙΑΣ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Ναι;Όχι;Μέτρια;
983;150112;150112;ΦΟΥΡΝΟΣ;Επί της ΝΑΡΚΙΣΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Κακή;;Όχι;Καλή;
984;170029;170029;ΣΧΟΛΕΙΑ;Επί της ΑΚΡΟΠΟΛΕΩΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
985;170030;170030;ΣΧΟΛΕΙΑ;Επί της ΜΠΟΥΜΠΟΥΛΙΝΑΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Καλή;
986;170037;170037;ΣΧΟΛΕΙΑ;Επί της ΜΠΟΥΜΠΟΥΛΙΝΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
987;330034;330034;ΣΤΑΘΜΟΣ ΗΣΑΠ ΠΕΡΙΣΣΟΥ;Επί της ΛΕΩΦ.ΗΡΑΚΛΕΙΟΥ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Ναι;Κακή;Ναι
988;330081;330081;ΠΤΟΛΕΜΑΙΩΝ;Επί της ΣΥΡΑΚΟΥΣΩΝ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
989;340098;340098;ΠΑΠΑΣΠΥΡΟΥ;Επί της ΚΡΑΤΗΤΟΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
990;680002;680002;ΣΙΝΤΡΙΒΑΝΙ;Επί της ΑΓ.ΑΝΑΡΓΥΡΩΝ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
991;680003;680003;ΣΥΝΤΡΙΒΑΝΙ;Επί της ΧΑΛΚΙΔΟΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
